SQA,Tue, 17 Dec 2019 20:46:20 GMT
Method,NBD,v(G)
"hackme.Main.endScreenReturn(String)",0,3
"hackme.Main.gameScreenReturn(String)",2,1
"hackme.Main.loadStartScreen()",2,1
"hackme.Main.main(String[])",0,1
"hackme.Main.start(Stage)",0,1
"hackme.Main.startScreenReturn(String)",3,6
"hackme.MainTest.setUp()",0,1
"hackme.MainTest.tearDown()",0,1
"hackme.MainTest.testMain()",1,2
"hackme.gamelogic.GameEngine.correctCharacters(String,String)",2,6
"hackme.gamelogic.GameEngine.createDisplayableWords(List<String>,EventHandler<ActionEvent>)",1,2
"hackme.gamelogic.GameEngine.getPassword(List<String>)",1,2
"hackme.gamelogic.GameEngine.getWordFileScanner(Difficulty)",1,6
"hackme.gamelogic.GameEngine.getWordList(Difficulty)",1,3
"hackme.gamelogic.GameEngine.matchPassword(String,String)",0,1
"hackme.gamelogic.GameEngine.setupGame(Difficulty)",0,1
"hackme.gamelogic.GameEngineTest.setUp()",1,4
"hackme.gamelogic.GameEngineTest.tearDown()",0,1
"hackme.gamelogic.GameEngineTest.testCorrectChars()",0,1
"hackme.gamelogic.GameEngineTest.testGetPassword()",0,1
"hackme.gamelogic.GameEngineTest.testMatchPassword()",0,1
"hackme.gamelogic.GameEngineTest.testNumberOfWords()",1,5
"hackme.gamelogic.GameEngineTest.testSizeOfWords()",2,3
"hackme.gamelogic.RandomString.RandomString(int)",0,1
"hackme.gamelogic.RandomString.RandomString(int,Random)",0,2
"hackme.gamelogic.RandomString.nextString()",0,2
"hackme.gamelogic.RandomStringTest.setUp()",0,1
"hackme.gamelogic.RandomStringTest.tearDown()",0,1
"hackme.gamelogic.RandomStringTest.testNextString()",1,2
"hackme.screens.EndScreenController.exitButtonClicked(ActionEvent)",0,1
"hackme.screens.EndScreenController.getScoreboard(String)",1,3
"hackme.screens.EndScreenController.insertIntoScoreboard(String,int,ArrayList<String[]>)",2,5
"hackme.screens.EndScreenController.playAgainButtonClicked(ActionEvent)",0,1
"hackme.screens.EndScreenController.saveScoreboard(ArrayList<String[]>,String)",1,3
"hackme.screens.EndScreenController.setResult(String)",0,2
"hackme.screens.EndScreenControllerTest.setUp()",0,1
"hackme.screens.EndScreenControllerTest.tearDown()",0,1
"hackme.screens.EndScreenControllerTest.testGetScoreboard()",3,13
"hackme.screens.EndScreenControllerTest.testInsertIntoScoreboard()",3,13
"hackme.screens.EndScreenControllerTest.testSaveScoreboard()",1,3
"hackme.screens.GameScreenController.initialiseGame(Difficulty)",1,5
"hackme.screens.GameScreenController.initialize(URL,ResourceBundle)",2,1
"hackme.screens.GameScreenController.wordOnClick(String)",3,5
"hackme.screens.StartScreenController.easyLevelButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.exitButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.hardLevelButtonClicked(ActionEvent)",0,1
"hackme.screens.StartScreenController.mediumLevelButtonClicked(ActionEvent)",0,1

Class,COM_RAT,DIT,LCOM,LOC
"hackme.Main",36.27%,2,2,102
"hackme.MainTest",0.00%,1,2,18
"hackme.gamelogic.GameEngine",37.10%,1,4,124
"hackme.gamelogic.GameEngine.Difficulty",50.00%,n/a,0,6
"hackme.gamelogic.GameEngineTest",0.00%,1,1,79
"hackme.gamelogic.RandomString",41.94%,1,1,31
"hackme.gamelogic.RandomStringTest",0.00%,1,1,20
"hackme.screens.EndScreenController",29.81%,1,5,104
"hackme.screens.EndScreenControllerTest",2.17%,1,1,92
"hackme.screens.GameScreenController",17.17%,1,1,99
"hackme.screens.GameScreenControllerTest",75.00%,1,0,4
"hackme.screens.StartScreenController",60.53%,1,1,38
"hackme.screens.StartScreenControllerTest",75.00%,1,0,4

Interface,LOC
"hackme.screens.ScreenReturner",6

Package,Ca,Ce,I
"hackme",1,3,0.75
"hackme.gamelogic",8,3,0.38
"hackme.screens",5,5,0.50

